Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Request Hour
619,Airport,1,Trip Completed,11/07/2016 11:51,11/07/2016 13:00,11
867,Airport,1,Trip Completed,11/07/2016 17:57,11/07/2016 18:47,17
1807,City,1,Trip Completed,12/07/2016 09:17,12/07/2016 09:58,9
2532,Airport,1,Trip Completed,12/07/2016 21:08,12/07/2016 22:03,21
3112,City,1,Trip Completed,13/07/2016 08:33,13/07/2016 09:25,8
3879,Airport,1,Trip Completed,13/07/2016 21:57,13/07/2016 22:28,21
4270,Airport,1,Trip Completed,14/07/2016 06:15,14/07/2016 07:13,6
5510,Airport,1,Trip Completed,15/07/2016 05:11,15/07/2016 06:07,5
6248,City,1,Trip Completed,15/07/2016 17:57,15/07/2016 18:50,17
267,City,2,Trip Completed,11/07/2016 06:46,11/07/2016 07:25,6
1467,Airport,2,Trip Completed,12/07/2016 05:08,12/07/2016 06:02,5
1983,City,2,Trip Completed,12/07/2016 12:30,12/07/2016 12:57,12
2784,Airport,2,Trip Completed,13/07/2016 04:49,13/07/2016 05:23,4
3075,City,2,Trip Completed,13/07/2016 08:02,13/07/2016 09:16,8
3379,City,2,Trip Completed,13/07/2016 14:23,13/07/2016 15:35,14
3482,Airport,2,Trip Completed,13/07/2016 17:23,13/07/2016 18:20,17
4652,City,2,Trip Completed,14/07/2016 12:01,14/07/2016 12:36,12
5335,Airport,2,Trip Completed,14/07/2016 22:24,14/07/2016 23:18,22
535,Airport,3,Trip Completed,11/07/2016 10:00,11/07/2016 10:31,10
960,Airport,3,Trip Completed,11/07/2016 18:45,11/07/2016 19:23,18
1934,Airport,3,Trip Completed,12/07/2016 11:17,12/07/2016 12:23,11
2083,Airport,3,Trip Completed,12/07/2016 15:46,12/07/2016 16:40,15
2211,Airport,3,Trip Completed,12/07/2016 18:00,12/07/2016 18:28,18
3096,Airport,3,Trip Completed,13/07/2016 08:17,13/07/2016 09:22,8
3881,Airport,3,Trip Completed,13/07/2016 21:54,13/07/2016 22:51,21
5254,City,3,Trip Completed,14/07/2016 21:23,14/07/2016 22:25,21
5434,City,3,Trip Completed,15/07/2016 02:41,15/07/2016 03:24,2
5916,City,3,Trip Completed,15/07/2016 10:00,15/07/2016 10:53,10
669,City,4,Trip Completed,11/07/2016 13:08,11/07/2016 13:49,13
1567,Airport,4,Trip Completed,12/07/2016 06:21,12/07/2016 07:10,6
1826,City,4,Trip Completed,12/07/2016 09:27,12/07/2016 10:27,9
2102,City,4,Trip Completed,12/07/2016 16:09,12/07/2016 17:01,16
2847,Airport,4,Trip Completed,13/07/2016 05:34,13/07/2016 06:09,5
3722,Airport,4,Trip Completed,13/07/2016 19:57,13/07/2016 20:32,19
4075,City,4,Trip Completed,14/07/2016 02:17,14/07/2016 03:21,2
4686,City,4,Trip Completed,14/07/2016 13:01,14/07/2016 13:45,13
5771,Airport,4,Trip Completed,15/07/2016 08:30,15/07/2016 09:37,8
6106,Airport,4,Trip Completed,15/07/2016 15:01,15/07/2016 15:47,15
312,City,5,Trip Completed,11/07/2016 07:27,11/07/2016 08:31,7
577,Airport,5,Trip Completed,11/07/2016 11:03,11/07/2016 12:01,11
1179,City,5,Trip Completed,11/07/2016 20:58,11/07/2016 21:45,20
1756,Airport,5,Trip Completed,12/07/2016 08:40,12/07/2016 09:23,8
2052,City,5,Trip Completed,12/07/2016 14:48,12/07/2016 15:50,14
2559,City,5,Trip Completed,12/07/2016 21:32,12/07/2016 22:29,21
3014,City,5,Trip Completed,13/07/2016 07:28,13/07/2016 08:29,7
3317,City,5,Trip Completed,13/07/2016 12:14,13/07/2016 12:46,12
4297,City,5,Trip Completed,14/07/2016 06:43,14/07/2016 07:49,6
